12:35:33.403205 config: drop-rate=0.30, max-delay=1s, seed=1
12:36:16.813083 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delayed for 50ms
12:36:16.864379 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delivered
12:36:16.864949 [queue=0] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is dropped
12:36:17.721265 [queue=1] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 30ms
12:36:17.752646 [queue=0] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:17.753046 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delayed for 510ms
12:36:18.264628 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=0 is delivered
12:36:18.266300 [queue=1] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 50ms
12:36:18.317507 [queue=0] packet #0, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:18.319545 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 660ms
12:36:18.319630 [queue=2] packet #2, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 610ms
12:36:18.319680 [queue=3] packet #3, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 830ms
12:36:18.930759 [queue=2] packet #2, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
12:36:18.931054 [queue=3] packet #2, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 630ms
12:36:18.980650 [queue=2] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
12:36:18.980861 [queue=3] packet #1, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 20ms
12:36:19.001797 [queue=2] packet #1, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:19.013866 [queue=3] packet #4, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 470ms
12:36:19.150798 [queue=2] packet #3, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
12:36:19.151047 [queue=3] packet #3, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 770ms
12:36:19.485049 [queue=2] packet #4, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
12:36:19.485414 [queue=3] packet #4, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 960ms
12:36:19.562173 [queue=2] packet #2, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:19.568789 [queue=3] packet #5, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 230ms
12:36:19.799929 [queue=2] packet #5, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
12:36:19.800219 [queue=3] packet #5, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delayed for 370ms
12:36:19.922134 [queue=2] packet #3, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:19.928747 [queue=3] packet #6, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delayed for 410ms
12:36:20.171361 [queue=2] packet #5, 127.0.0.1:51334 -> 127.0.0.1:8007, sz=0 is delivered
12:36:20.339850 [queue=1] packet #6, 127.0.0.1:8007 -> 127.0.0.1:51334, sz=20 is delivered
